************************************************
*    Row   *     el.UZ *      el.E *         1 *
*      127 * 0.9258764 * 788.96417 *         1 *
*      128 * 0.8391928 * 253.40728 *         1 *
*      129 * -0.062875 * 331.17129 *         1 *
*      130 * 0.9934580 * 218.49443 *         1 *
*      131 * -0.861936 * 242.85501 *         1 *
*      132 * 0.9974204 *  461.3815 *         1 *
*      133 * -0.402378 * 166.89370 *         1 *
*      134 * 0.9777307 * 484.10086 *         1 *
*      135 * 0.9760549 * 1060.9505 *         1 *
*      136 * 0.8302696 * 767.09594 *         1 *
*      137 * 0.6970650 * 509.86105 *         1 *
*      138 * 0.5416694 * 721.99005 *         1 *
*      139 * 0.3265670 * 231.23588 *         1 *
*      140 * 0.9183728 * 364.35101 *         1 *
*      141 * 0.6427566 * 363.76132 *         1 *
*      142 * -0.550156 * 191.36364 *         1 *
*      143 * 0.9711288 * 216.15014 *         1 *
*      144 * 0.9073172 * 504.71655 *         1 *
*      145 * 0.9443135 * 391.24148 *         1 *
*      146 * 0.0237749 * 299.19397 *         1 *
*      147 * 0.8719308 * 410.15918 *         1 *
*      148 * 0.7517523 * 232.44268 *         1 *
*      149 * -0.149362 * 262.68112 *         1 *
*      150 * 0.4490711 * 462.09307 *         1 *
*      151 * -0.786871 * 247.21499 *         1 *
*      152 * 0.8702526 * 495.76129 *         1 *
*      153 * 0.1737045 * 349.54049 *         1 *
*      154 * 0.9407708 * 263.12338 *         1 *
*      155 * 0.8988738 * 910.68774 *         1 *
*      156 * -0.934895 * 224.70394 *         1 *
*      157 * 0.8656997 * 421.21084 *         1 *
*      158 * 0.6673113 * 190.78457 *         1 *
*      159 * 0.9057211 * 208.92404 *         1 *
*      160 * -0.006258 * 168.75430 *         1 *
*      161 * 0.9193102 * 1030.0488 *         1 *
*      162 * 0.7762209 * 385.21856 *         1 *
*      163 * 0.9758244 * 1012.4323 *         1 *
*      164 * 0.9808834 * 871.85333 *         1 *
*      165 * 0.7788803 * 212.72381 *         1 *
*      166 * 0.8572128 * 978.33789 *         1 *
*      167 * 0.2119544 * 210.07760 *         1 *
*      168 * 0.9947087 * 376.60864 *         1 *
*      169 * 0.6185755 * 191.33660 *         1 *
*      170 * 0.5441265 * 638.25701 *         1 *
*      171 * 0.6248952 * 678.17834 *         1 *
*      172 * -0.002614 * 196.25375 *         1 *
*      173 * 0.3873118 * 241.72581 *         1 *
*      174 * 0.3624824 * 197.38815 *         1 *
*      175 * 0.7696546 * 473.82559 *         1 *
*      176 * 0.9763711 * 635.53405 *         1 *
*      177 * 0.5622316 * 343.09405 *         1 *
*      178 * 0.5002371 * 262.02792 *         1 *
*      179 * -0.436352 * 211.98783 *         1 *
*      180 * 0.9604414 * 523.32373 *         1 *
*      181 * 0.7592384 * 289.14947 *         1 *
*      182 * 0.6904569 * 275.41143 *         1 *
*      183 * -0.505163 * 249.78965 *         1 *
*      184 * -0.137750 * 220.67651 *         1 *
*      185 * -0.213839 * 290.47351 *         1 *
*      186 * 0.7894020 * 856.45922 *         1 *
*      187 * 0.9989364 * 766.56744 *         1 *
*      188 * 0.6894603 * 211.17594 *         1 *
*      189 * 0.8398454 * 963.14440 *         1 *
*      190 * -0.169063 * 187.16774 *         1 *
*      191 * 0.9971804 * 324.39718 *         1 *
*      192 * -0.602465 * 291.11282 *         1 *
*      193 * 0.8530468 * 215.74989 *         1 *
*      194 * 0.8226896 * 265.66326 *         1 *
*      195 * 0.8727397 * 744.59039 *         1 *
*      196 * 0.6874133 * 392.25927 *         1 *
*      197 * 0.8283739 * 405.51065 *         1 *
*      198 * 0.4272722 * 509.52224 *         1 *
*      199 * -0.763170 * 263.13897 *         1 *
*      200 * 0.9103485 * 217.02589 *         1 *
*      201 * 0.9213335 * 584.66430 *         1 *
*      202 * 0.4253837 * 486.86532 *         1 *
*      203 * 0.9751307 *  203.9505 *         1 *
*      204 * 0.3430719 * 358.39758 *         1 *
*      205 * 0.9054163 * 657.87536 *         1 *
*      206 * -0.502447 * 166.75486 *         1 *
*      207 * 0.9880276 * 425.59777 *         1 *
*      208 * -0.421151 * 213.60182 *         1 *
*      209 * 0.9995210 * 481.08651 *         1 *
*      210 * 0.7193608 * 668.25238 *         1 *
*      211 * 0.9033936 * 817.26409 *         1 *
*      212 * 0.9692994 * 488.81362 *         1 *
*      213 * -0.492349 * 322.08813 *         1 *
*      214 * 0.6403673 * 259.51037 *         1 *
*      215 * 0.7752611 * 425.86898 *         1 *
*      216 * 0.5524935 * 456.26083 *         1 *
*      217 * 0.9785923 * 294.67660 *         1 *
*      218 * 0.8581365 * 992.37133 *         1 *
*      219 * 0.7071251 * 328.99621 *         1 *
*      220 * 0.3749973 * 205.66697 *         1 *
*      221 * 0.5560516 * 495.33685 *         1 *
*      222 * 0.8262382 * 259.03903 *         1 *
*      223 * 0.3824293 * 241.27888 *         1 *
*      224 * 0.9038358 * 587.42840 *         1 *
*      225 * 0.7211368 * 664.38598 *         1 *
*      226 * -0.247284 * 183.48199 *         1 *
*      227 * -0.242623 * 259.74264 *         1 *
*      228 * 0.9984959 * 460.20135 *         1 *
*      229 * 0.6986470 * 283.81915 *         1 *
*      230 * 0.9607513 * 486.61825 *         1 *
*      231 * 0.7397651 * 303.79266 *         1 *
*      232 * 0.9160467 * 581.51825 *         1 *
*      233 * 0.4942206 * 517.03051 *         1 *
*      234 * 0.8454146 * 266.25231 *         1 *
*      235 * 0.9823518 * 568.13507 *         1 *
*      236 * 0.7299841 * 608.72338 *         1 *
*      237 * 0.7977459 * 604.37835 *         1 *
*      238 * -0.634072 * 320.53488 *         1 *
*      239 * -0.100884 * 184.15165 *         1 *
*      240 * 0.8500490 * 580.24066 *         1 *
*      241 * 0.9415685 * 266.93850 *         1 *
*      242 * -0.165362 * 226.60788 *         1 *
*      243 * 0.8191468 * 465.51272 *         1 *
*      244 * 0.1536183 * 470.90060 *         1 *
*      245 * 0.8996856 * 1038.8769 *         1 *
*      246 * 0.7332500 * 471.59347 *         1 *
*      247 * 0.7525836 * 761.14386 *         1 *
*      248 * 0.9719396 * 310.57394 *         1 *
*      249 * 0.4188202 * 200.36543 *         1 *
*      250 * 0.9579148 * 841.89752 *         1 *
*      251 * 0.9807581 * 992.54345 *         1 *
*      252 * -0.292351 * 196.65428 *         1 *
