************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      109 * 0.5207726 * 294.93188 * 1.0956714 *
*      110 * 0.8948287 * 441.25302 * 1.0005921 *
*      111 * -0.728398 * 226.36135 * 1.5647852 *
*      112 * 0.8520121 * 424.90289 * 0.8953191 *
*      113 * 0.4971798 * 389.18737 * 0.8806415 *
*      114 * 0.8017306 * 242.32859 * 1.0325801 *
*      115 * 0.5820689 * 420.50534 * 0.9034695 *
*      116 * 0.0513404 * 211.27359 * 1.2995241 *
*      117 * 0.9084665 * 386.61050 * 0.9099063 *
*      118 * 0.8904105 * 302.48596 * 0.9525457 *
*      119 * 0.1229670 * 325.30538 * 0.9505875 *
*      120 * 0.7050233 * 273.07992 * 1.0720107 *
*      121 * 0.9507041 * 509.28909 * 1.0628919 *
*      122 * 0.5160927 * 276.29666 * 0.9758870 *
*      123 * 0.7691339 * 264.24124 * 1.0200182 *
*      124 * 0.0164492 * 200.72816 * 1.2323157 *
*      125 * 0.4005347 * 267.45721 * 1.0380861 *
*      126 * 0.1905201 * 225.73841 * 1.3155745 *
*      127 * 0.9500692 * 824.17334 * 0.8502445 *
*      128 * -0.765906 * 231.39546 * 1.0290094 *
*      129 * 0.9992302 * 308.26849 * 1.0828120 *
*      130 * 0.9026523 * 252.21067 * 1.2682006 *
*      131 * 0.7406827 * 319.36041 * 0.9077520 *
*      132 * -0.314256 * 194.69844 * 1.3191595 *
*      133 * -0.509733 * 209.59359 * 1.1760962 *
*      134 * 0.8966215 * 345.67746 * 1.2244398 *
*      135 * -0.766010 * 245.89251 * 1.2307329 *
*      136 * -0.943581 * 198.54666 * 1.2267934 *
*      137 * 0.9614727 * 469.13064 * 1.0650614 *
*      138 * -0.675519 * 151.18246 * 1.6631451 *
*      139 * 0.0458989 * 285.70767 * 1.0043047 *
*      140 * 0.9442924 * 417.26281 * 1.1125141 *
*      141 * 0.7326069 * 619.59802 * 0.9386534 *
*      142 * 0.3088724 * 337.52096 * 0.9010059 *
*      143 * 0.3098954 * 249.01861 * 1.0196173 *
*      144 * 0.8376783 * 391.34381 * 0.9127941 *
*      145 * 0.7170640 * 306.37359 * 0.8678248 *
*      146 * 0.6836914 * 312.07656 * 0.9472869 *
*      147 * -0.865742 * 219.23234 * 1.4953930 *
*      148 * -0.243637 * 186.24641 * 1.4578199 *
*      149 * 0.7719151 * 212.32788 * 1.2191059 *
*      150 * -0.696157 * 240.48414 * 1.1565420 *
*      151 * 0.4716799 * 555.91888 * 0.7966554 *
*      152 * -0.145232 * 271.20126 * 1.0561724 *
*      153 * 0.7678244 * 707.24920 * 0.8229700 *
*      154 * 0.8295058 * 353.99243 * 1.2193638 *
*      155 * 0.2877617 * 199.76408 * 1.1730706 *
*      156 * 0.3571627 * 397.34613 * 0.9939079 *
*      157 * 0.9878322 * 357.64593 * 0.9189987 *
*      158 * 0.6731978 * 385.21539 * 0.9370523 *
*      159 * 0.7970408 * 357.35168 * 0.8734090 *
*      160 * 0.7948210 * 369.75131 * 1.1164686 *
*      161 * -0.349094 * 222.70999 * 1.2348020 *
*      162 * -0.510102 * 235.42785 * 0.8740670 *
*      163 * 0.7722774 * 441.25039 * 0.9399732 *
*      164 * 0.4089341 * 449.45892 * 0.9332862 *
*      165 * 0.9410455 * 560.07556 * 0.9319048 *
*      166 * 0.7582371 * 692.79351 * 0.9101290 *
*      167 * 0.7684105 * 393.52935 * 1.0334099 *
*      168 * 0.8235774 * 261.22610 * 1.0514998 *
*      169 * 0.8309831 * 313.58642 * 1.1472806 *
*      170 * -0.516838 * 198.39581 * 1.3584626 *
*      171 * 0.7972912 * 372.50634 * 1.0960648 *
*      172 * -0.650290 * 319.34506 * 1.0891045 *
*      173 * 0.9694965 * 246.68922 * 1.0180457 *
*      174 * -0.000231 * 388.44348 * 1.0478297 *
*      175 * -0.071731 * 271.95355 * 1.0632052 *
*      176 * 0.4139627 * 373.05517 * 0.8686752 *
*      177 * 0.6187833 * 326.18609 * 0.8735607 *
*      178 * 0.6098262 * 459.27014 * 0.8564268 *
*      179 * 0.8332365 * 347.51800 * 0.9146257 *
*      180 * 0.0329312 * 221.44914 * 1.3773505 *
*      181 * -0.206718 * 263.29919 * 1.3381037 *
*      182 * 0.2622660 * 324.94671 * 0.8807194 *
*      183 * 0.6526075 * 446.24621 * 0.8282989 *
*      184 * 0.4788097 * 377.73529 * 0.9230802 *
*      185 * 0.4987260 * 493.85360 * 0.8191099 *
*      186 * 0.4160225 * 256.69976 * 1.2311867 *
*      187 * -0.185345 * 242.42901 * 1.3287859 *
*      188 * 0.2901133 * 264.20504 * 1.0664862 *
*      189 * 0.8002704 * 217.35725 * 1.0189833 *
*      190 * 0.9952036 * 592.68597 * 0.8562791 *
*      191 * -0.265486 * 180.17602 * 2.0615649 *
*      192 * 0.9842112 * 1135.3836 * 0.9478904 *
*      193 * 0.3321551 * 202.21664 * 1.1855533 *
*      194 * 0.8656539 * 680.20996 * 0.8889099 *
*      195 * -0.103069 * 316.62951 * 0.9469876 *
*      196 * -0.412419 * 194.33456 * 1.4228565 *
*      197 * 0.5865156 * 371.52481 * 0.9082113 *
*      198 * 0.9489506 * 370.82904 * 1.2362294 *
*      199 * 0.8597444 * 510.75244 * 0.8357072 *
*      200 * -0.533066 * 220.60868 * 1.0746454 *
*      201 * 0.4690682 * 240.02294 * 1.0342913 *
*      202 * 0.6663407 * 225.84765 * 1.0176900 *
*      203 * 0.9494603 * 402.73510 * 0.9820921 *
*      204 * 0.3417884 * 243.64233 * 1.0219653 *
*      205 * 0.7643654 * 416.17178 * 0.9107087 *
*      206 * 0.8600344 * 486.30035 * 1.1198177 *
*      207 * -0.261235 * 199.96638 * 1.2677344 *
*      208 * 0.8473679 * 361.12631 * 1.1794315 *
*      209 * 0.9895461 * 377.28665 * 0.9927146 *
*      210 * 0.3718781 * 388.52612 * 0.9298128 *
*      211 * 0.6083057 * 284.84219 * 0.9786117 *
*      212 * -0.149824 * 324.52533 * 1.1982297 *
*      213 * 0.1709956 * 209.81346 * 1.2758387 *
*      214 * 0.8535072 * 307.41177 * 0.8914060 *
*      215 * 0.4334478 * 197.83931 * 1.1302610 *
*      216 * 0.4019287 * 278.97814 * 1.0406447 *
*      217 * 0.4902291 * 263.08474 * 0.9510693 *
*      218 * 0.9987914 * 392.72604 * 1.1959672 *
