************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      111 * 0.5584390 * 449.94912 *         1 *
*      112 * 0.4873754 * 272.23672 * 0.9673605 *
*      113 * -0.035578 * 460.40679 * 1.2799999 *
*      114 * 0.5404700 * 700.68115 * 0.9680318 *
*      115 * 0.4196870 * 333.17880 * 1.2799999 *
*      116 * 0.6679365 * 725.27764 *         1 *
*      117 * 0.4685841 * 457.75207 * 0.9667762 *
*      118 * 0.1961676 * 406.34921 * 0.9724153 *
*      119 * 0.9635559 * 781.33532 * 1.2799999 *
*      120 * -0.886736 * 182.88691 * 1.2799999 *
*      121 * 0.6332699 * 256.46270 * 1.2799999 *
*      122 * 0.1929866 * 602.46710 * 0.9686897 *
*      123 * 0.8960117 * 908.38250 * 1.2799999 *
*      124 * 0.9738500 * 1086.2169 * 0.9676641 *
*      125 * 0.6385220 * 305.87817 * 1.2799999 *
*      126 * -0.955494 * 249.84339 *         1 *
*      127 * 0.2869549 * 354.60339 * 1.2799999 *
*      128 * 0.8199553 * 663.22662 * 1.2799999 *
*      129 * 0.9400172 * 907.32971 * 1.2799999 *
*      130 * 0.3101550 * 555.36621 * 1.2799999 *
*      131 * 0.1835033 * 407.43020 * 1.2799999 *
*      132 * 0.8353829 * 527.11206 * 1.2799999 *
*      133 * -0.127194 * 312.24484 * 1.2799999 *
*      134 * -0.009247 * 263.21456 * 1.2799999 *
*      135 * 0.7637424 * 874.56439 * 1.2799999 *
*      136 * 0.7290745 * 765.38684 * 1.2799999 *
*      137 * 0.6425225 * 240.89151 * 0.9705603 *
*      138 * -0.693289 * 263.79110 * 0.9666862 *
*      139 * 0.5092138 * 660.33184 * 1.2799999 *
*      140 * 0.7749455 * 844.24823 * 1.2799999 *
*      141 * 0.4146169 * 191.98864 * 0.9695531 *
*      142 * 0.6492214 * 578.49670 * 1.4833161 *
*      143 * 0.7455153 * 554.78179 * 1.2799999 *
*      144 * 0.7806205 * 889.88293 * 0.9673202 *
*      145 * 0.9124748 * 618.46441 * 1.2799999 *
*      146 * 0.9775963 * 1152.8419 * 1.2799999 *
*      147 * -0.862159 * 272.51327 * 0.9760534 *
*      148 * -0.050717 * 367.48602 * 1.2799999 *
*      149 * 0.0690667 * 175.52494 *         1 *
*      150 * 0.4870568 * 544.75787 * 1.2799999 *
*      151 * 0.4878860 * 267.88757 * 1.2799999 *
*      152 * 0.1910268 * 484.93646 * 0.9675369 *
