************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      109 * -0.156100 * 280.67349 * 1.2799999 *
*      110 * 0.3936078 * 179.69146 * 1.2799999 *
*      111 * 0.6683113 * 383.22741 * 1.2799999 *
*      112 * 0.8324359 * 596.08172 * 1.2799999 *
*      113 * 0.7794849 * 384.80841 * 1.2799999 *
*      114 * 0.9047803 * 297.89001 *         1 *
*      115 * 0.7781118 * 537.58709 * 1.2799999 *
*      116 * 0.9567964 * 452.24197 * 1.0114355 *
*      117 * 0.9484328 * 541.44683 * 0.8827327 *
*      118 * 0.4150250 * 362.75354 * 0.9657691 *
*      119 * 0.9541565 * 283.50857 * 0.7599045 *
*      120 * 0.7530907 * 448.57617 * 1.4382150 *
*      121 * 0.5465186 * 212.19332 * 0.9195275 *
*      122 * 0.8450742 * 357.28543 * 1.2799999 *
*      123 * 0.9867879 * 560.79388 * 1.2799999 *
*      124 * 0.8527565 * 406.58908 * 1.2799999 *
*      125 * 0.1202059 * 198.01947 * 1.2799999 *
*      126 * -0.585151 * 153.04774 * 1.2799999 *
*      127 * 0.7981531 * 298.76364 * 1.2799999 *
*      128 * -0.261387 * 255.32432 * 1.2799999 *
*      129 * 0.8060377 * 220.91133 * 1.4634701 *
*      130 * 0.4875255 * 312.82684 * 1.2799999 *
*      131 * 0.8063079 * 620.39715 * 1.2799999 *
*      132 * 0.5182707 * 314.57968 * 1.2799999 *
*      133 * 0.9647117 * 528.76647 * 1.1763283 *
*      134 * 0.9308457 * 470.74044 * 1.2799999 *
*      135 * 0.9732130 * 586.75213 * 1.2799999 *
*      136 * 0.1066698 * 219.03559 * 1.2799999 *
*      137 * 0.3742786 * 290.16137 * 1.2799999 *
*      138 * 0.7657709 * 319.51974 * 1.5892796 *
*      139 * 0.8768084 * 555.10174 * 0.9727028 *
*      140 * 0.8556154 * 438.66528 * 1.2799999 *
*      141 * 0.7109997 * 197.02203 * 1.4781129 *
*      142 * 0.4047335 * 436.40985 * 1.2799999 *
*      143 * 0.9996718 * 652.00170 *         1 *
*      144 * 0.9987484 * 379.35287 * 1.2799999 *
*      145 * 0.9592772 * 521.36792 * 0.6827325 *
*      146 * 0.4717639 * 252.95019 * 1.2799999 *
*      147 * 0.4258724 * 338.33102 * 1.2799999 *
*      148 * 0.9996770 * 223.05676 * 1.2799999 *
*      149 * 0.9991210 * 366.49249 * 1.2799999 *
*      150 * 0.7835391 * 529.92785 * 1.2799999 *
*      151 * 0.7909409 * 254.33609 * 1.2799999 *
*      152 * 0.9960493 * 267.41677 * 1.2799999 *
*      153 * 0.9983907 * 219.78465 * 0.9692236 *
*      154 * 0.9993855 * 209.67968 * 1.2799999 *
*      155 * 0.7041072 * 326.13604 * 1.4957836 *
*      156 * 0.6499653 * 236.39877 * 1.4862813 *
*      157 * 0.7482193 * 329.93429 * 1.3585978 *
*      158 * 0.9998763 * 1169.5948 * 1.2799999 *
*      159 * 0.9971271 * 263.02468 * 1.2799999 *
*      160 * 0.5803065 * 275.82788 * 1.2799999 *
*      161 * 0.6946154 * 317.32122 * 1.2799999 *
*      162 * 0.7635915 * 461.19738 * 1.0185532 *
*      163 * 0.1954180 * 232.89839 * 1.2799999 *
*      164 * 0.1107438 * 323.15759 * 1.2799999 *
*      165 * -0.188635 * 189.93075 * 1.2799999 *
*      166 * 0.5809941 * 609.14086 * 1.2799999 *
*      167 * 0.9928911 * 201.33017 * 1.2799999 *
*      168 * 0.5356758 * 326.22763 * 1.2799999 *
*      169 * 0.0001803 * 292.46951 * 0.9841107 *
*      170 * 0.8247141 * 492.88311 * 1.0455207 *
