************************************************
*    Row   *     el.UZ *      el.E *       wgt *
*      109 * 0.5661800 * 203.90103 * 0.5954999 *
*      110 * 0.7740589 * 233.78591 * 0.5954999 *
*      111 * 0.8179674 * 321.16165 * 0.5954999 *
*      112 * 0.0145409 * 244.89379 * 0.5954999 *
*      113 * 0.9831728 * 463.73846 * 0.5954999 *
*      114 * 0.3817442 * 244.97042 * 0.5954999 *
*      115 * 0.7835450 * 201.30777 * 0.5954999 *
*      116 * -0.506556 * 214.05224 * 0.5954999 *
*      117 * 0.8522861 * 376.40341 * 0.5954999 *
*      118 * 0.0014023 * 187.46324 * 0.5954999 *
*      119 * 0.6600118 * 427.45224 * 0.5954999 *
*      120 * 0.9701256 * 260.23855 * 0.5954999 *
*      121 * 0.8576588 * 498.95016 * 0.5954999 *
*      122 * -0.144666 * 162.79727 * 0.5954999 *
*      123 * 0.7731776 * 336.87579 * 0.5954999 *
*      124 * -0.453246 * 160.64617 * 0.5954999 *
*      125 * 0.3217536 * 528.82470 * 0.5954999 *
*      126 * -0.492049 * 193.88839 * 0.5954999 *
*      127 * -0.913641 * 166.45785 * 0.5954999 *
*      128 * 0.6979131 * 336.36764 * 0.5954999 *
*      129 * 0.4317705 * 553.75219 * 0.5954999 *
*      130 * -0.961992 * 143.29933 * 0.5954999 *
*      131 * 0.0096540 * 174.68350 * 0.5954999 *
*      132 * 0.4668605 * 273.38705 * 0.5954999 *
*      133 * 0.3562063 * 184.93341 * 0.5954999 *
*      134 * 0.4712900 * 578.95031 * 0.5954999 *
*      135 * 0.6771529 * 328.47137 * 0.5954999 *
*      136 * 0.9723364 * 379.02377 * 0.5954999 *
*      137 * -0.155911 * 261.13363 * 0.5954999 *
*      138 * 0.8162754 * 359.71896 * 0.5954999 *
*      139 * -0.535815 * 159.62846 * 0.5954999 *
*      140 * -0.131599 * 166.17184 * 0.5954999 *
*      141 * 0.5184270 * 388.88189 * 0.5954999 *
*      142 * 0.6163185 * 278.38299 * 0.5954999 *
*      143 * 0.1546875 * 365.28454 * 0.5954999 *
*      144 * 0.4730660 * 354.28204 * 0.5954999 *
*      145 * 0.7822844 * 493.01254 * 0.5954999 *
*      146 * 0.7340329 * 212.42244 * 0.5954999 *
*      147 * 0.4296050 * 205.71266 * 0.5954999 *
*      148 * 0.9945793 * 464.85620 * 0.5954999 *
*      149 * -0.295405 * 198.35632 * 0.5954999 *
*      150 * 0.2178304 * 216.44941 * 0.5954999 *
*      151 * 0.9866001 * 959.33056 * 0.5954999 *
*      152 * 0.9909585 * 624.44262 * 0.5954999 *
*      153 * -0.120561 * 362.04580 * 0.5954999 *
*      154 * 0.9096764 * 859.97265 * 0.5954999 *
*      155 * 0.8827791 * 661.08544 * 0.5954999 *
*      156 * 0.7767062 * 462.77825 * 0.5954999 *
*      157 * 0.6450749 * 587.82775 * 0.5954999 *
*      158 * 0.7649334 * 323.69113 * 0.5954999 *
*      159 * 0.9549890 * 635.89648 * 0.5954999 *
*      160 * 0.9123621 * 294.51303 * 0.5954999 *
*      161 * -0.031655 * 379.69897 * 0.5954999 *
*      162 * 0.2276118 * 230.84584 * 0.5954999 *
*      163 * 0.8975072 * 422.46868 * 0.5954999 *
*      164 * 0.9490306 * 214.33692 * 0.5954999 *
*      165 * 0.5861979 * 274.49704 * 0.5954999 *
